"cellstate","n_cells","mean_CXCL13","median_CXCL13","pct_CXCL13_positive"
"Tumor_T5",249,0.369015618868507,0,25.3012048192771
"Cycling_T",1081,0.602912349991459,0,23.2192414431082
"Treg",2038,0.434397953551306,0,12.5613346418057
"Tumor_T7",106,0.0499402808875051,0,10.377358490566
"Tumor_T1",916,0.17724031192639,0,8.84279475982533
"Tumor_T6",126,0.0685258909863017,0,7.14285714285714
"Tumor_T4",279,0.172177195165619,0,6.45161290322581
"Tumor_T3",440,0.0578691571831809,0,3.18181818181818
"Tcm",5001,0.0623363623597415,0,2.71945610877824
"Tpex_like",2728,0.056343981562041,0,2.05278592375367
"NK",102,0.0520731184436315,0,1.96078431372549
"Tumor_T2",576,0.0320323865715606,0,1.38888888888889
"Terminal_Tex",2819,0.0092204524120483,0,0.425682866264633
"Early_Tex",2731,0.00673071705913486,0,0.402782863419993
"Tn_Tcm",5901,0.00880544485282823,0,0.372818166412472
"NK_dim",36,0,0,0
