"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15"
"SLAMF6",0.280563483857486,0.37088568604635,0.455082809512959,0.332398938510697,0.2626179282149,0.148849771386508,0.155655451789817,0.15445607756328,0.260273145098286,0.152182395051434,0.18478109593204,0.146774475673475,0.0318209188715269,0.011456338103864,0.127022437615978,0
"SELL",0.652141419649795,0.232847001574457,0.338667483839332,0.123275012667145,0.467148407524857,1.36980015063544,0.508215999724786,0.350290536037044,0.236434269070571,0.354962811050138,0.59260603504945,0.36037826263456,0.0590545784452756,0.0499163285802025,0.533347371482558,0.102936268856973
"CD8A",2.26261714585395,3.23322071964239,2.05201475258074,0.586130927125402,1.33502904164005,0.547475618120687,1.40832296485952,0.814400800902823,1.62223453815861,1.61345530716112,1.00192540846291,1.30149814695833,0.125702748435753,0.131431626740533,2.22300534357073,0.0670773678977891
"CD8B",1.15259611048689,1.92954106596078,1.20646203631962,0.266430483519532,0.949426775182452,0.526727476176698,1.14365372887666,0.436064518281376,0.920901204906843,0.790895680251669,0.724302727632867,0.809152323155706,0.175163468232106,0.104113693900766,1.05994805964414,0.0235106032820802
"PDCD1",0.356882686487436,0.539186449156753,0.234659956919887,0.0749936282913801,0.38381206762659,0.553378082840589,0.680705617654577,0.263470597153091,0.285522044630937,0.317661901180673,0.537080318551129,0.317506183538331,0.0494471297251969,0.0032170374302305,0.536994245983006,0.0221955875172016
"TIGIT",0.571519569052255,1.49560918307001,0.854910461118373,2.02589925277238,1.00600238457178,5.13553642986653,1.81707422023914,0.982954385271309,0.613456185848484,0.979780546521569,1.50117626292135,0.677529345081755,0.255467966920311,0.194111825733895,1.32743543997641,0.107866100091861
"CXCL13",0.0827222156092739,0.42535290477433,0.04354234909414,0.0183600106688989,0.512073705945676,7.04443113476958,5.66245564176634,1.41458462472529,0.294638283242141,0.251324965711061,1.48121210846832,1.64526679399678,0.216628650927144,0.0738251344590448,0.440514420949597,0
"IL7R",14.3444563772839,5.24531365716796,3.7706167220855,1.13633884689527,9.83713534018817,5.74567190255331,2.36072782935714,5.59858310796775,6.87479616293281,3.81264767141696,6.60848754533726,2.74267211194092,1.05903819757735,0.30666384103854,8.84512600044352,0.549138057685174
"TCF7",0.940362847995059,0.712215253055476,0.466004512734946,0.747375062767201,0.775002660109869,0.362713451242735,0.354772731625856,0.339940743365228,0.523316564402752,0.614797836332572,0.454089495630482,0.302516458419173,0.0839985911070925,0.107011561545043,0.649062378900343,0.0415610144704471
"HAVCR2",0.155471015858049,0.38963112953767,1.17264032330976,0.904912260155721,0.321974679670209,0.955876318115588,1.04773183614086,0.312222386502772,0.207511173860133,0.627634143110292,0.750450524161417,0.403994663997301,0.147046156000278,0.0618438561743361,0.634734120079053,0.057580477756999
"TOX",0.283229427239942,0.607438953827027,0.313841052309355,0.755460989830238,0.37582851465246,0.594894134506117,0.646499784624287,0.26540637441253,0.288960410292259,0.368492952281188,0.417133399304195,0.278069829717595,0.0271482301636487,0.0276957789626643,0.271745013083081,0.0239939343334005
"CXCR5",0.0265941791091138,0.016767125006677,0.00900748403806071,0.00645876024558429,0.0133632426069263,0.0130828513494396,0.00855797288751008,0.00614256611200918,0,0,0.0266152316303224,0.031315253267535,0.00373736356829226,0.00941137496423678,0,0
"PRF1",2.4902563960183,3.93734181619355,11.7756867412339,6.308365981033,2.26787417923226,1.82692369368165,3.16721971554108,1.3338097417858,1.96346956496276,2.36414612588967,2.52165117046865,1.09428133085242,0.209720130209919,0.319428133413387,1.669063208399,0.094690390139707
"MKI67",0.00561322503188583,0.0234213822546937,0.0111591712112116,0.0389916604292661,0.0294700041558519,0.0514476810959605,2.4486152464126,0.228625411600465,0.0914436288410369,0.596537424321349,0.0756323874243497,0.21746515567895,0.246521390739566,0.3309858120542,0,0.0998218512002643
"GZMB",1.36410519991466,2.61155461318775,23.1064279043537,3.75918675203568,2.72048763029054,2.87825049461986,7.47222701400333,2.32326186072026,2.49666064732394,3.29524471464563,5.60047837330518,1.29784670326804,0.288131075292735,0.921032494162536,3.1833031992611,0.657761087191999
"CCR7",1.97756563418533,0.388377615274619,0.0821217050757681,0.123105989945486,1.72883114774709,1.23171999243645,0.596149480351256,1.15075991387334,0.459807950107292,0.68186136756621,1.65629317961485,0.63884737925574,0.0699450907360607,0.0457130306106873,1.07354046571712,0.0249284553331937
