"","HCC01","HCC02","HCC03","HCC04","HCC05","HCC06","HCC07","HCC08","HCC09","HCC10"
"0",72,0,77,307,1016,1185,832,1203,453,756
"1",16,15,31,145,858,969,615,1339,250,763
"2",155,0,15,158,527,327,392,605,89,551
"3",141,0,52,75,234,463,426,698,304,338
"4",166,1,121,464,413,615,183,346,90,329
"5",23,24,21,114,45,309,129,677,214,482
"6",27,112,84,94,60,111,91,207,122,173
"7",81,58,109,73,260,14,8,211,35,67
"8",315,0,4,39,38,93,40,28,14,5
"9",21,7,48,29,54,144,59,50,12,16
"10",12,3,9,0,5,63,14,125,7,41
"11",0,143,5,8,8,41,18,7,9,10
"12",0,0,0,79,29,18,0,0,0,0
"13",0,0,0,0,0,0,0,106,0,0
"14",0,0,0,102,0,0,0,0,0,0
"15",0,0,36,0,0,0,0,0,0,0
